id,type,category,name_c,name_j,name_e,obtainedFrom,buy,sell,seasonalAvailability,villagerEquippable,styles,themes,DIY,diyInfoMaterials,diyInfoObtainedFrom,diyInfoSourceNotes,filename,version,variations
24,clothes,套裝,緞面連身裙,サテンのワンピース,satin dress,裁縫店,1600,400,全年,True,華麗,"['正式', '派對', '舞台']",False,,,,TopsTexOnepieceBalloonNSatin2,1.0.0,5
25,clothes,上身,簡約荷葉邊細肩帶背心,シンプルフリルキャミソール,layered tank,裁縫店,800,200,夏季,True,可愛,"['童話世界', '悠閒', '度假']",False,,,,TopsTexTopTshirtsNCamisole6,1.0.0,8
26,clothes,上身,中華風衣服,チャイナふく,silk shirt,裁縫店,1500,375,全年,True,優雅,"['日常生活', '正式']",False,,,,TopsTexTopYshirtsLChina4,1.0.0,5
27,clothes,上身,插肩T恤,ラグランＴシャツ,raglan shirt,裁縫店,800,200,全年,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsLRaglan4,1.0.0,5
28,clothes,套裝,斜紋軟呢連身裙,ツイードワンピース,tweed dress,裁縫店,1600,400,全年,True,可愛,"['日常生活', '童話世界']",False,,,,TopsTexOnepieceAlineLTweed1,1.0.0,3
29,clothes,套裝,春天圓點連身裙,はるのみずたまワンピース,gumdrop dress,裁縫店,1800,450,全年,True,可愛,"['日常生活', '童話世界']",False,,,,TopsTexOnepieceAlineHPolkadotSpring0,1.0.0,2
30,clothes,套裝,鳳梨圖案夏威夷連身裙,パインがらムームー,tropical muumuu,裁縫店,1800,450,夏季,True,活潑,"['悠閒', '度假']",False,,,,TopsTexOnepieceAlineNMuumuu1,1.0.0,5
31,clothes,套裝,端莊洋裝,よそいきなふく,academy uniform,裁縫店,2080,520,全年,True,優雅,"['正式', '派對']",False,,,,TopsTexOnepieceBoxLYosoiki1,1.0.0,3
32,clothes,套裝,復古直筒連身裙,レトロボックスワンピース,retro dress,裁縫店,2550,637,全年,True,優雅,['派對'],False,,,,TopsTexOnepieceBoxNRetro1,1.0.0,6
33,clothes,上身,籃球衣,バスケシャツ,basketball tank,裁縫店,1120,280,全年,True,活潑,"['運動', '工作']",False,,,,TopsTexTopTshirtsNBasketballshirts7,1.0.0,8
35,clothes,上身,無袖針織衫,ノースリーブのニット,hand-knit tank,裁縫店,840,210,全年,True,優雅,"['日常生活', '正式', '悠閒']",False,,,,TopsTexTopOuterNKnit1,1.0.0,6
37,clothes,上身,羽絨外套,ダウンジャケット,down jacket,裁縫店,1120,280,冬季,True,活潑,"['日常生活', '戶外活動']",False,,,,TopsTexTopOuterLDownjacket3,1.0.0,8
38,clothes,套裝,夢幻色系格子連身裙,ゆめいろこうしワンピース,dazed dress,裁縫店,1600,400,夏季,True,可愛,"['日常生活', '童話世界']",False,,,,TopsTexOnepieceAlineNYumeiro0,1.0.0,3
39,clothes,套裝,氣質套裝,せいそなアンサンブル,prim outfit,裁縫店,1920,480,全年,True,優雅,"['正式', '派對', '工作']",False,,,,TopsTexOnepieceBoxLEnsemble1,1.0.0,3
40,clothes,上身,襯衫,ワイシャツ,dress shirt,裁縫店,560,140,全年,True,簡單,"['日常生活', '正式', '工作']",False,,,,TopsTexTopYshirtsLStandard0,1.0.0,5
41,clothes,套裝,圓點腰帶連身裙,ベルトつきみずたまワンピース,belted dotted dress,裁縫店,2000,500,夏季,True,可愛,"['童話世界', '派對', '度假']",False,,,,TopsTexOnepieceBalloonHPolkadot1,1.0.0,4
42,clothes,上身,短袖水手服,はんそでセーラーふく,sailor's tee,裁縫店,1050,262,夏季,True,簡單,"['日常生活', '正式']",False,,,,TopsTexTopTshirtsHSailor0,1.0.0,8
43,clothes,上身,簡約連帽上衣,シンプルなパーカー,simple parka,裁縫店,1060,265,全年,True,簡單,"['日常生活', '悠閒', '運動']",False,,,,TopsTexTopOuterLParka0,1.0.0,8
44,clothes,上身,兒童罩衣,スモック,kids' smock,裁縫店,1500,375,全年,True,可愛,['日常生活'],False,,,,TopsTexTopTshirtsLSmock0,1.0.0,4
45,clothes,套裝,花紋連身裙,はながらワンピース,blossom dress,裁縫店,1500,375,全年,True,可愛,"['日常生活', '童話世界']",False,,,,TopsTexOnepieceAlineHFlower0,1.0.0,5
46,clothes,套裝,蘿莉塔連身裙,ロリータなワンピース,lace-up dress,裁縫店,2500,625,全年,True,可愛,"['童話世界', '派對', '舞台']",False,,,,TopsTexOnepieceBalloonLLolita0,1.0.0,3
47,clothes,襪子,絲襪,ストッキング,stockings,裁縫店,480,120,全年,False,簡單,"['日常生活', '工作']",False,,,,SocksTexTights2,1.0.0,5
48,clothes,襪子,網襪,あみタイツ,fishnet tights,裁縫店,480,120,全年,False,優雅,"['派對', '舞台']",False,,,,SocksTexAmitights1,1.0.0,3
49,clothes,套裝,千鳥格紋連身裙,ちどりごうしワンピース,plover dress,裁縫店,1600,400,全年,True,優雅,"['日常生活', '工作']",False,,,,TopsTexOnepieceBoxLChidori1,1.0.0,3
50,clothes,套裝,派對連身裙,パーティーワンピ,fancy party dress,裁縫店,2400,600,全年,True,優雅,"['正式', '派對']",False,,,,TopsTexOnepieceBoxHParty1,1.0.0,4
51,clothes,套裝,奢華套裝,バブリーなセットアップ,rad power skirt suit,裁縫店,2240,560,全年,True,華麗,"['派對', '舞台', '工作']",False,,,,TopsTexOnepieceBoxLBubbly0,1.0.0,7
52,clothes,套裝,聖誕洋裝,クリスマスなドレス,festive dress,裁縫店,2400,600,全年,True,可愛,"['童話世界', '派對']",False,,,,TopsTexOnepieceBalloonNXmasRed,1.0.0,1
53,clothes,套裝,童話風洋裝,メルヘンなドレス,fairy-tale dress,裁縫店,2400,600,全年,True,可愛,"['童話世界', '舞台']",False,,,,TopsTexOnepieceBalloonHHood0,1.0.0,8
54,clothes,套裝,女僕裝,メイドのふく,maid dress,裁縫店,2320,580,全年,True,可愛,"['童話世界', '正式', '舞台', '工作']",False,,,,TopsTexOnepieceBalloonHMaid0,1.0.0,8
56,clothes,上身,學士服,がくしのふく,graduation gown,裁縫店,3360,840,全年,True,簡單,"['正式', '工作']",False,,,,TopsTexTopCoatLAcademicdress0,1.0.0,4
58,clothes,套裝,餐館制服,ダイナーのユニフォーム,diner uniform,裁縫店,1800,450,全年,True,可愛,['工作'],False,,,,TopsTexOnepieceBalloonHWaitress6,1.0.0,7
59,clothes,上身,短袖襯衫,はんそでワイシャツ,short-sleeve dress shirt,裁縫店,560,140,夏季,True,簡單,"['日常生活', '正式', '工作']",False,,,,TopsTexTopYshirtsHStandard0,1.0.0,5
60,clothes,上身,無袖有領襯衫,ノースリーブえりつきシャツ,sleeveless dress shirt,裁縫店,960,240,夏季,True,簡單,"['日常生活', '度假']",False,,,,TopsTexTopYshirtsNStandard0,1.0.0,5
61,clothes,套裝,兔子服,ウサギなふく,bunny dress,裁縫店,1800,450,全年,True,可愛,"['童話世界', '派對']",False,,,,TopsTexOnepieceAlineLRabbit2,1.0.0,3
62,clothes,上身,海盜大衣,かいぞくのコート,sea captain's coat,海盜,,1200,全年,True,酷感,"['童話世界', '正式', '恐怖', '舞台']",False,,,,TopsTexTopCoatLPirate2,1.3.0,3
63,clothes,套裝,女英雄裝,ヒロインスーツ,noble zap suit,裁縫店,2760,690,全年,True,活潑,"['童話世界', '舞台', '工作']",False,,,,TopsTexOnepieceAlineLHeroine0,1.0.0,8
64,clothes,上身,日式棉襖外套,はんてん,hanten jacket,裁縫店,1120,280,冬季,True,簡單,['悠閒'],False,,,,TopsTexTopCoatLHanten1,1.0.0,4
65,clothes,套裝,浴袍,バスローブ,bathrobe,裁縫店,720,180,全年,True,簡單,['悠閒'],False,,,,TopsTexOnepieceBoxLBathrobes0,1.0.0,7
66,clothes,套裝,芭蕾舞衣,バレエのいしょう,ballet outfit,裁縫店,2880,720,全年,True,可愛,"['童話世界', '運動', '舞台', '工作']",False,,,,TopsTexOnepieceBalloonNBallet5,1.0.0,8
67,clothes,套裝,貓咪服,ネコなふく,cat dress,裁縫店,1800,450,冬季,True,可愛,"['童話世界', '派對', '舞台']",False,,,,TopsTexOnepieceAlineLCat2,1.0.0,3
68,clothes,套裝,提洛爾洋裝,チロリアンなドレス,alpinist dress,裁縫店,2520,630,全年,True,可愛,"['日常生活', '正式']",False,,,,TopsTexOnepieceBalloonHTyrolean2,1.0.0,3
69,clothes,套裝,聖誕樹連身裙,もみのきワンピース,festive-tree dress,裁縫店,2240,560,全年,True,可愛,"['童話世界', '派對']",False,,,,TopsTexOnepieceAlineNXmastreeNormal0,1.0.0,6
70,clothes,上身,雨衣,レインコート,raincoat,裁縫店,1280,320,全年,True,簡單,"['日常生活', '戶外活動']",False,,,,TopsTexTopCoatLRain7,1.0.0,8
71,clothes,上身,貴族大衣,きぞくのコート,noble coat,裁縫店,4800,1200,全年,True,華麗,"['童話世界', '正式', '派對', '舞台']",False,,,,TopsTexTopCoatLNoble2,1.0.0,8
72,clothes,上身,Polo衫,ポロシャツ,polo shirt,裁縫店,720,180,夏季,True,簡單,"['日常生活', '度假', '工作']",False,,,,TopsTexTopYshirtsHPolo6,1.0.0,8
73,clothes,上身,醫生袍,はくい,doctor's coat,裁縫店,2160,540,全年,True,簡單,['工作'],False,,,,TopsTexTopCoatLWhitecoat1,1.0.0,2
74,clothes,上身,廚師衣服,コックさんのふく,chef's outfit,裁縫店,1680,420,全年,True,簡單,['工作'],False,,,,TopsTexTopCoatHCook6,1.0.0,7
75,clothes,上身,咖啡店制服,カフェのせいふく,café uniform,裁縫店,1500,375,全年,True,優雅,"['正式', '工作']",False,,,,TopsTexTopCoatLCafe0,1.0.0,4
76,clothes,上身,體操服,たいそうふく,gym tee,裁縫店,640,160,全年,True,活潑,"['悠閒', '運動']",False,,,,TopsTexTopTshirtsHGym3,1.0.0,4
77,clothes,上身,坦克背心,タンクトップ,tank,裁縫店,350,87,夏季,True,簡單,"['日常生活', '戶外活動', '悠閒', '運動', '度假']",False,,,,TopsTexTopTshirtsNTanktop1,1.0.0,5
78,clothes,上身,諧星衣服,コメディアンなふく,comedian's outfit,裁縫店,2500,625,全年,True,華麗,"['派對', '舞台']",False,,,,TopsTexTopYshirtsLComedian7,1.0.0,8
79,clothes,上身,騎士皮外套,ライダースジャケット,biker jacket,裁縫店,1750,437,全年,True,酷感,"['日常生活', '戶外活動', '舞台']",False,,,,TopsTexTopYshirtsLRiders0,1.0.0,6
80,clothes,上身,花紋圖案細肩帶背心,はながらのプリントキャミ,garden tank,裁縫店,1120,280,夏季,True,可愛,"['日常生活', '童話世界', '悠閒', '度假']",False,,,,TopsTexTopTshirtsNCamisoleprint0,1.0.0,4
81,clothes,上身,牛仔外套,デニムジャケット,denim jacket,裁縫店,1400,350,全年,True,簡單,"['日常生活', '戶外活動']",False,,,,TopsTexTopYshirtsLDenim0,1.0.0,5
82,clothes,上身,橡膠圍裙,ゴムエプロン,rubber apron,裁縫店,840,210,全年,True,活潑,['工作'],False,,,,TopsTexTopCoatHRubberapron1,1.0.0,2
83,clothes,上身,釣魚背心,つりジャケット,fishing vest,裁縫店,1440,360,全年,True,活潑,"['戶外活動', '運動']",False,,,,TopsTexTopTshirtsHFishing4,1.0.0,8
84,clothes,上身,麂皮大衣,ムートンコート,faux-shearling coat,裁縫店,1680,420,冬季,True,優雅,"['日常生活', '戶外活動']",False,,,,TopsTexTopCoatLMouton4,1.0.0,5
85,clothes,上身,法蘭絨襯衫,ネルシャツ,flannel shirt,裁縫店,1200,300,全年,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexTopYshirtsLFlannel0,1.0.0,5
86,clothes,上身,牛仔背心,そでなしＧジャン,denim vest,裁縫店,1120,280,夏季,True,活潑,"['日常生活', '戶外活動', '度假']",False,,,,TopsTexTopYshirtsNDenim2,1.0.0,5
87,clothes,上身,圍裙,エプロン,apron,裁縫店,840,210,全年,True,簡單,"['日常生活', '工作']",False,,,,TopsTexTopCoatHApron6,1.0.0,8
88,clothes,上身,騎兵隊衣服,へいたいのふく,military uniform,裁縫店,3360,840,全年,True,優雅,"['童話世界', '正式', '工作']",False,,,,TopsTexTopCoatLInfantry3,1.0.0,4
89,clothes,套裝,原始人服,げんしじんなふく,caveman tank,裁縫店,1050,262,全年,True,活潑,['戶外活動'],False,,,,TopsTexOnepieceBoxNPrimitive2,1.0.0,3
90,clothes,上身,騎士衣服,じゅうきしのふく,cavalier shirt,裁縫店,2080,520,全年,True,優雅,"['童話世界', '舞台']",False,,,,TopsTexTopCoatLGunknight1,1.0.0,3
91,clothes,上身,鳳梨圖案夏威夷襯衫,パインがらアロハシャツ,pineapple aloha shirt,裁縫店,960,240,夏季,True,活潑,"['悠閒', '度假']",False,,,,TopsTexTopYshirtsHAloha1,1.0.0,7
92,clothes,上身,蕾絲細肩帶背心,レースのキャミソール,lacy tank,裁縫店,850,212,夏季,True,可愛,"['日常生活', '童話世界', '悠閒', '度假']",False,,,,TopsTexTopTshirtsNCamisolelace0,1.0.0,5
93,clothes,上身,運動服,ジャージ,athletic jacket,裁縫店,960,240,全年,True,活潑,"['戶外活動', '悠閒', '運動']",False,,,,TopsTexTopOuterLJersey2,1.0.0,6
94,clothes,上身,西部牛仔衣服,ウェスタンなふく,western shirt,裁縫店,2100,525,全年,True,活潑,"['戶外活動', '舞台', '工作']",False,,,,TopsTexTopYshirtsLWestern3,1.0.0,4
95,clothes,上身,接力賽衣服,えきでんなふく,relay tank,裁縫店,960,240,全年,True,活潑,"['運動', '工作']",False,,,,TopsTexTopTshirtsNEkiden7,1.0.0,8
96,clothes,上身,短袖中華風衣服,はんそでチャイナふく,silk floral-print shirt,裁縫店,1200,300,全年,True,可愛,['日常生活'],False,,,,TopsTexTopYshirtsHChina3,1.0.0,7
97,clothes,上身,足球隊服,サッカーのユニフォーム,soccer-uniform top,裁縫店,1330,332,全年,True,活潑,"['運動', '工作']",False,,,,TopsTexTopTshirtsHSoccer7,1.0.0,8
98,clothes,上身,虎紋飛行外套,トラのスカジャン,tiger jacket,裁縫店,1750,437,冬季,True,活潑,['戶外活動'],False,,,,TopsTexTopOuterLSukajantigerGreen,1.0.0,1
99,clothes,上身,祭典和服,はっぴ,happi tee,裁縫店,960,240,夏季,True,活潑,"['派對', '舞台', '工作']",False,,,,TopsTexTopYshirtsHHappi2,1.0.0,5
100,clothes,上身,龍紋飛行外套,ドラゴンのスカジャン,dragon jacket,裁縫店,2000,500,冬季,True,活潑,['戶外活動'],False,,,,TopsTexTopOuterLSukajandragonBlack,1.0.0,1
101,clothes,上身,迷彩衣服,めいさいなふく,camo tee,裁縫店,960,240,夏季,True,酷感,"['日常生活', '戶外活動']",False,,,,TopsTexTopTshirtsHCamouflage0,1.0.0,7
102,clothes,上身,單車運動服,サイクルジャージ,cycling shirt,裁縫店,1200,300,全年,True,活潑,"['戶外活動', '運動']",False,,,,TopsTexTopTshirtsHCycle0,1.0.0,8
103,clothes,上身,小雞T恤,ひよこがらＴシャツ,chick tee,裁縫店,800,200,夏季,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHChickBlue,1.0.0,1
104,clothes,套裝,公主服,プリンセスなふく,princess dress,裁縫店,5500,1375,全年,True,優雅,"['童話世界', '正式', '派對']",False,,,,TopsTexOnepieceDressLPrincess7,1.0.0,8
105,clothes,套裝,無袖針織連身裙,そでなしニットワンピ,sleeveless sweater dress,裁縫店,1600,400,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexOnepieceRibNKnit2,1.0.0,6
106,clothes,上身,菱格紋背心,アーガイルベスト,argyle vest,裁縫店,1440,360,全年,True,簡單,"['日常生活', '正式', '工作']",False,,,,TopsTexTopYshirtsLArgyle4,1.0.0,6
107,clothes,上身,探險衣服,たんけんふく,explorer shirt,裁縫店,1120,280,全年,True,活潑,"['戶外活動', '工作']",False,,,,TopsTexTopYshirtsHExplorer2,1.0.0,4
108,clothes,上身,鮮艷外套,ハデなジャケット,flashy jacket,裁縫店,1960,490,全年,True,華麗,"['正式', '派對', '舞台']",False,,,,TopsTexTopYshirtsLJacketgaudy0,1.0.0,6
109,clothes,上身,領帶配襯衫,ネクタイつきワイシャツ,work shirt,裁縫店,1040,260,全年,True,酷感,"['日常生活', '正式', '工作']",False,,,,TopsTexTopYshirtsLNecktie4,1.0.0,5
110,clothes,上身,日本料理廚師衣服,いたまえのふく,sushi chef's outfit,裁縫店,1800,450,全年,True,簡單,['工作'],False,,,,TopsTexTopCoatHItamae0,1.0.0,2
111,clothes,上身,制服外套,ブレザー,emblem blazer,裁縫店,1960,490,全年,True,優雅,['正式'],False,,,,TopsTexTopYshirtsLBlazer3,1.0.0,4
112,clothes,上身,國王衣服,おうさまのふく,royal shirt,裁縫店,6720,1680,全年,True,華麗,"['童話世界', '派對', '舞台']",False,,,,TopsTexTopCoatLKingRed,1.0.0,1
113,clothes,套裝,草莓服,イチゴのふく,strawberry dress,裁縫店,1800,450,全年,True,可愛,"['童話世界', '派對', '舞台']",False,,,,TopsTexOnepieceAlineNStrawberry,1.0.0,1
114,clothes,套裝,西瓜服,スイカのふく,watermelon dress,裁縫店,1500,375,夏季,True,可愛,"['童話世界', '派對', '度假']",False,,,,TopsTexOnepieceAlineNWatermelon,1.0.0,1
115,clothes,套裝,橘子服,オレンジのふく,orange dress,DIY,,1600,全年,True,可愛,"['童話世界', '派對', '舞台']",True,"[{'count': 8, 'itemName': '橘子'}]",['悠閒型村民'],,TopsTexOnepieceAlineNOrange,1.0.0,1
116,clothes,套裝,奇異果服,キウイのふく,kiwi dress,裁縫店,1500,375,全年,True,可愛,"['童話世界', '派對', '舞台']",False,,,,TopsTexOnepieceAlineNKiwi,1.0.0,1
117,clothes,套裝,葡萄服,ぶどうのふく,grape dress,裁縫店,1500,375,全年,True,可愛,"['童話世界', '派對', '舞台']",False,,,,TopsTexOnepieceAlineNGrape,1.0.0,1
118,clothes,套裝,鳳梨服,パイナップルのふく,pineapple dress,裁縫店,1500,375,夏季,True,可愛,"['童話世界', '派對', '度假']",False,,,,TopsTexOnepieceAlineNPineapple,1.0.0,1
119,clothes,下身,棉褲,スウェットパンツ,sweatpants,裁縫店,800,200,全年,False,活潑,"['日常生活', '悠閒']",False,,,,BottomsTexPantsNormalSweat0,1.0.0,8
120,clothes,下身,斜紋軟呢裙,ツイードスカート,tweed skirt,裁縫店,1300,325,全年,False,簡單,['日常生活'],False,,,,BottomsTexSkirtAlineTweed1,1.0.0,3
125,clothes,下身,皮褲,レザーパンツ,pleather pants,裁縫店,1300,325,全年,False,酷感,"['日常生活', '戶外活動', '舞台']",False,,,,BottomsTexPantsNormalLeather0,1.0.0,6
126,clothes,下身,西裝褲,スラックス,slacks,裁縫店,1300,325,全年,False,簡單,"['正式', '派對', '工作']",False,,,,BottomsTexPantsNormalSlacks6,1.0.0,7
127,clothes,下身,運動褲,ジャージズボン,athletic pants,裁縫店,880,220,全年,False,活潑,"['戶外活動', '悠閒', '運動']",False,,,,BottomsTexPantsNormalJersey2,1.0.0,6
128,clothes,下身,粗橫紋褲,ボーダーパンツ,striped pants,裁縫店,1100,275,全年,False,簡單,"['日常生活', '悠閒', '度假']",False,,,,BottomsTexPantsNormalBoder4,1.0.0,5
129,clothes,下身,破洞牛仔褲,あなあきデニム,worn-out jeans,裁縫店,1100,275,全年,False,酷感,"['日常生活', '戶外活動']",False,,,,BottomsTexPantsNormalDenimholes0,1.0.0,4
130,clothes,上身,撞色有領襯衫,ツートンのエリつきシャツ,color-block dress shirt,裁縫店,960,240,全年,True,簡單,['日常生活'],False,,,,TopsTexTopYshirtsLTwotone5,1.0.0,6
131,clothes,上身,1號球衣服,１ばんだまのふく,one-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball1,1.0.0,1
132,clothes,上身,4號球衣服,４ばんだまのふく,four-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball4,1.0.0,1
133,clothes,上身,5號球衣服,５ばんだまのふく,five-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball5,1.0.0,1
134,clothes,上身,6號球衣服,６ばんだまのふく,six-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball6,1.0.0,1
135,clothes,上身,7號球衣服,７ばんだまのふく,seven-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball7,1.0.0,1
136,clothes,上身,8號球衣服,８ばんだまのふく,eight-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball8,1.0.0,1
137,clothes,上身,9號球衣服,９ばんだまのふく,nine-ball tee,每日購物精選,560,140,全年,True,活潑,"['日常生活', '悠閒']",False,,,,TopsTexTopTshirtsHNumberball9,1.0.0,1
138,clothes,上身,時髦衣服,トレンディーなふく,sweater on shirt,裁縫店,960,240,全年,True,優雅,"['悠閒', '工作']",False,,,,TopsTexTopYshirtsLTiedsweater4,1.0.0,5
139,clothes,上身,健身運動服,スポーツジャージ,track jacket,裁縫店,910,227,全年,True,活潑,"['戶外活動', '運動']",False,,,,TopsTexTopYshirtsLSportsjersey2,1.0.0,7
140,clothes,下身,體育運動褲,スポーツジャージのズボン,track pants,裁縫店,770,192,全年,False,活潑,"['戶外活動', '運動']",False,,,,BottomsTexPantsNormalSportsjersey2,1.0.0,7
141,clothes,套裝,純白洋裝,じゅんぱくのドレス,wedding dress,健兆,,5000,全年,True,優雅,"['童話世界', '正式', '派對', '舞台']",False,,,,TopsTexOnepieceDressNWedding,1.2.0,1
142,clothes,下身,蘇格蘭裙,キルト,kilt,裁縫店,1000,250,全年,False,簡單,"['日常生活', '正式', '工作']",False,,,,BottomsTexSkirtAlineKilt1,1.0.0,4
143,clothes,上身,西裝背心配襯衫,ベストつきワイシャツ,waistcoat,裁縫店,1750,437,全年,True,簡單,"['正式', '工作']",False,,,,TopsTexTopYshirtsLGilet3,1.0.0,5
144,clothes,下身,水手服裙,セーラーふくのスカート,sailor skirt,裁縫店,980,245,全年,False,簡單,"['日常生活', '正式']",False,,,,BottomsTexSkirtAlineSailor0,1.0.0,8
145,clothes,下身,迷彩褲,めいさいパンツ,camo pants,裁縫店,1300,325,全年,False,酷感,"['日常生活', '戶外活動']",False,,,,BottomsTexPantsNormalCamouflage0,1.0.0,7
146,clothes,套裝,護士連身裙,かんごしのワンピース,nurse's dress uniform,裁縫店,2200,550,全年,True,簡單,['工作'],False,,,,TopsTexOnepieceBoxHNurse1,1.0.0,3
147,clothes,上身,護士外套,かんごしのジャケット,nurse's jacket,裁縫店,1500,375,全年,True,簡單,['工作'],False,,,,TopsTexTopYshirtsHNurse1,1.0.0,3
148,clothes,下身,工作褲,カーゴパンツ,cargo pants,裁縫店,770,192,全年,False,簡單,"['日常生活', '戶外活動']",False,,,,BottomsTexPantsWideCargo3,1.0.0,5
149,clothes,下身,反摺褲,すそみせズボン,cuffed pants,裁縫店,1100,275,全年,False,簡單,['日常生活'],False,,,,BottomsTexPantsWideSusomise3,1.0.0,4
150,clothes,套裝,睡衣,パジャマ,PJ outfit,裁縫店,1050,262,全年,True,簡單,['悠閒'],False,,,,TopsTexOnepieceOverallLPajama2,1.0.0,5
151,clothes,上身,粗橫紋坦克背心,ボーダーのタンクトップ,striped tank,裁縫店,800,200,夏季,True,簡單,"['悠閒', '度假']",False,,,,TopsTexTopTshirtsNBorder5,1.0.0,8
152,clothes,下身,蕾絲裙,レーススカート,lace skirt,裁縫店,920,230,夏季,False,可愛,"['日常生活', '童話世界', '度假']",False,,,,BottomsTexSkirtAlineLace0,1.0.0,4
153,clothes,套裝,馬甲洋裝,コルセットドレス,ruffled dress,裁縫店,4240,1060,全年,True,可愛,"['童話世界', '正式', '恐怖', '派對']",False,,,,TopsTexOnepieceBalloonLCorset1,1.0.0,3
154,clothes,套裝,襯衫連身裙,シャツワンピ,shirtdress,裁縫店,1600,400,全年,True,簡單,"['日常生活', '悠閒']",False,,,,TopsTexOnepieceBoxLShirt2,1.0.0,3
