name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy,seasonalAvailability,styles,themes,villagerEquippable,variations
雲霧衣服,かすみのふく,misty tee,上身,TopsTexTopTshirtsHHaze0,購物：特別購物,160,640,全年,優雅,"['日常生活', '悠閒']",True,0
摩斯大衣,モッズコート,mod parka,上身,TopsTexTopCoatLMod0,裁縫店,420,1680,冬季,簡單,['日常生活'],True,2
媽媽手編毛衣,ははのてあみセーター,Mom's hand-knit sweater,上身,TopsTexTopOuterLMother6,媽媽寄送,88,,全年,可愛,['悠閒'],True,8
媽媽手作圍裙,ははのてづくりエプロン,Mom's handmade apron,上身,TopsTexTopCoatLMother1,媽媽寄送,88,,全年,可愛,['悠閒'],True,8
晨禮服,モーニングコート,morning coat,上身,TopsTexTopCoatLMorningcoatBlack,裁縫店,625,2500,全年,優雅,"['正式', '派對', '舞台', '工作']",True,0
登山連帽上衣,マウンテンパーカー,mountain parka,上身,TopsTexTopYshirtsLMountain3,裁縫店,350,1400,全年,活潑,"['戶外活動', '運動']",True,4
多功能背心,たきのうベスト,multipurpose vest,上身,TopsTexTopYshirtsLMultivest1,裁縫店,420,1680,全年,簡單,['戶外活動'],True,3
健身坦克背心,マッスルタンクトップ,muscle tank,上身,TopsTexTopTshirtsNMuscle0,裁縫店,160,640,全年,活潑,"['戶外活動', '運動']",True,8
音樂節衣服,ミュージックフェスなふく,music-fest shirt,上身,TopsTexTopTshirtsLLive0,裁縫店,300,1200,全年,活潑,"['戶外活動', '舞台']",True,4
MVP T恤,ＭＶＰなＴシャツ,MVP tee,上身,TopsTexTopTshirtsHMvp0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
你好T恤,ニーハオＴシャツ,ni hao tee,上身,TopsTexTopTshirtsHHelloch0,購物：特別購物,160,640,全年,簡單,"['日常生活', '悠閒']",True,0
9號球衣服,９ばんだまのふく,nine-ball tee,上身,TopsTexTopTshirtsHNumberball9,購物：特別購物,140,560,全年,活潑,"['日常生活', '悠閒']",True,0
No.1衣服,No.1のふく,No. 1 shirt,上身,TopsTexTopTshirtsHOne0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
2號衣服,No.2のふく,No. 2 shirt,上身,TopsTexTopTshirtsHTwo0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
3號衣服,No.3のふく,No. 3 shirt,上身,TopsTexTopTshirtsHThree0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
4號衣服,No.4のふく,No. 4 shirt,上身,TopsTexTopTshirtsHFour0,購物：特別購物,140,560,全年,簡單,"['日常生活', '悠閒']",True,0
貴族大衣,きぞくのコート,noble coat,上身,TopsTexTopCoatLNoble2,裁縫店,1200,4800,全年,華麗,"['童話世界', '正式', '派對', '舞台']",True,8
Nook Inc.夏威夷襯衫,たぬきかいはつアロハ,Nook Inc. aloha shirt,上身,TopsTexTopTshirtsHRco,購物：哩數兌換,3000,,全年,簡單,"['悠閒', '度假']",True,0
Nook Inc.外套,たぬきかいはつブルゾン,Nook Inc. blouson,上身,TopsTexTopOuterLRco,購物：哩數兌換,4000,,全年,簡單,"['戶外活動', '工作']",True,0
Nook Inc.T恤,たぬきかいはつＴシャツ,Nook Inc. tee,上身,TopsTexTopTshirtsHNook0,購物：哩數兌換,3000,,全年,簡單,"['日常生活', '悠閒']",True,0
護士外套,かんごしのジャケット,nurse's jacket,上身,TopsTexTopYshirtsHNurse1,裁縫店,375,1500,全年,簡單,['工作'],True,3
教練外套,コーチジャケット,nylon jacket,上身,TopsTexTopYshirtsLCoach0,裁縫店,280,1120,冬季,酷,"['戶外活動', '運動']",True,4
油布外套,オイルスキンのジャケット,oilskin coat,上身,TopsTexTopCoatLOilskin2,裁縫店,350,1400,冬季,活潑,"['戶外活動', '工作']",True,3
OK車業外套,OKモータースジャケット,OK Motors jacket,上身,TopsTexTopYshirtsHOkmotors0,購物：手遊連動,375,1500,全年,簡單,['工作'],True,0
嘻哈風衣服,レペゼンなふく,old-school jacket,上身,TopsTexTopOuterLRepresent0,裁縫店,450,1800,全年,華麗,['舞台'],True,3
