id,name_e,name_j,name_c,filename,birthday,catchphrase,colors,favoriteSong,gender,hobby,personality,species,houseImage,wallpaper,flooring,furnitureList
26471,T-Bone,ボルシチ,羅宋,bul05,5/20,是唄,"['藍色', '黑色']",哥薩克樂曲,♂,學術,暴躁,公牛,bul05_49_T-Bone,"{'name': '美麗玻璃牆', 'filename': 'RoomSpWallGlass00'}","{'name': '阿拉伯式地板', 'filename': 'RoomTexFloorArabesque00'}","[{'name': '古董床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png'}, {'name': '雙人座沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrSofaL_Remake_0_0.png'}, {'name': '古董寫字桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png'}, {'name': '垂吊玻璃盆栽', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTerrariumWall_Remake_0_0.png'}, {'name': '龜背芋', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPlantMonstera_Remake_0_0.png'}, {'name': '壁爐', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFireplace_Remake_0_0.png'}, {'name': '俄羅斯套娃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrMatryoshka_Remake_0_0.png'}, {'name': '古董小桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png'}, {'name': '留聲機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPhonograph.png'}, {'name': '大提琴', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCello_Remake_0_0.png'}]"
26472,Coach,テッチャン,大常,bul07,4/29,鬍渣,"['藍色', '紅色']",K.K.老師,♂,健康,運動,公牛,bul07_50_Coach,"{'name': '空地圍欄牆', 'filename': 'RoomSpWallEmptyLot00'}","{'name': '賽車賽道地板', 'filename': 'RoomTexFloorAthletics00'}","[{'name': '球', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_0_0.png'}, {'name': '空氣循環扇', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png'}, {'name': '壺鈴', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKettlebell_Remake_0_0.png'}, {'name': '攀岩牆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrClimbingwall_Remake_0_0.png'}, {'name': '攀岩牆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrClimbingwall_Remake_0_0.png'}, {'name': '露營床', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCampbed_Remake_0_0.png'}, {'name': '壺鈴', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKettlebell_Remake_0_0.png'}, {'name': '導演椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrDirectorchair_Remake_0_0.png'}, {'name': '籃框', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBasketgoal_Remake_0_0.png'}, {'name': '攀岩牆', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrClimbingwall_Remake_0_0.png'}, {'name': '戶外桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrOutdoortableM_Remake_0_0.png'}, {'name': '乳清蛋白搖搖杯', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrProtein_Remake_0_0.png'}, {'name': '飲料桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWaterjug_Remake_0_0.png'}]"
26473,Vic,ノルマン,盧爾曼,bul08,12/29,哞,"['淺藍', '藍色']",K.K.進行曲,♂,健康,暴躁,公牛,bul08_51_Vic,"{'name': '汪洋大海牆', 'filename': 'RoomSpWallSeaView00'}","{'name': '甲板地板', 'filename': 'RoomTexFloorSeaView00'}","[{'name': '點唱機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrJukebox.png'}, {'name': '木桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPirateBarrel.png'}, {'name': '圓木圓桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLogTableLRound_Remake_0_0.png'}, {'name': '木製凳子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenStoolS_Remake_0_0.png'}, {'name': '木製凳子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenStoolS_Remake_0_0.png'}, {'name': '層架式廚房', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenFlame.png'}, {'name': '冷凍櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFreezer_Remake_0_0.png'}, {'name': '木桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPirateBarrel.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '派對裝飾', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPartydecorationWall_Remake_0_0.png'}, {'name': '乳清蛋白搖搖杯', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrProtein_Remake_0_0.png'}]"
26474,Bob,ニコバン,阿判,cat00,1/1,貓貓,"['七彩', '紅色']",義大利麵,♂,玩耍,悠閒,貓,cat00_52_Bob,"{'name': '藍色兒童房壁紙', 'filename': 'RoomTexWallToy00'}","{'name': '彩色巧拼地板', 'filename': 'RoomTexFloorPuzzleMat01'}","[{'name': '積木音響', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockCompo_Remake_0_0.png'}, {'name': '積木床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockBedS_Remake_0_0.png'}, {'name': '積木椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockChairS_Remake_0_0.png'}, {'name': '積木桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockTableL_Remake_0_0.png'}, {'name': '積木書櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockShelf_Remake_0_0.png'}, {'name': '積木長椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockChairL_Remake_0_0.png'}, {'name': '積木矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockChest_Remake_0_0.png'}, {'name': '積木玩具', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockBrick_Remake_0_0.png'}, {'name': '玩具箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrToybox_Remake_0_0.png'}, {'name': '積木壁鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockClock_Remake_0_0.png'}]"
26475,Mitzi,マール,圓圓,cat01,9/25,喵,"['棕色', '米色']",K.K.情歌,♀,學術,普通,貓,cat01_53_Mitzi,"{'name': '藍色油漆木牆', 'filename': 'RoomTexWallPaintWood00'}","{'name': '淺色人字斜紋地板', 'filename': 'RoomTexFloorHerringbone00'}","[{'name': '木製矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenChest_Remake_0_0.png'}, {'name': '瓦斯爐連烤箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_0_0.png'}, {'name': '木製單人床', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenBedS_Remake_0_0.png'}, {'name': '冰箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRefrigerator_Remake_0_0.png'}, {'name': '木製矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableM_Remake_0_0.png'}, {'name': '鑄鐵壁架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrIronShelfW_Remake_0_0.png'}, {'name': '木製小桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableMini_Remake_0_0.png'}, {'name': '貓草', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCatgrass_Remake_0_0.png'}, {'name': '黃椰子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPlantYamadoriyashi_Remake_0_0.png'}]"
26476,Rosie,ブーケ,彭花,cat02,2/27,看看,"['粉色', '紅色']",K.K.偶像,♀,音樂,活力,貓,cat02_54_Rosie,"{'name': '紫色圓點壁紙', 'filename': 'RoomTexWallDot04'}","{'name': '藍色油漆地板', 'filename': 'RoomTexFloorPaintWood00'}","[{'name': '可愛落地燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteLamp_Remake_0_0.png'}, {'name': '古典浴缸', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBathtubCabriole_Remake_0_0.png'}, {'name': '可愛茶桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteTableS_Remake_0_0.png'}, {'name': '可愛沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteChairL_Remake_0_0.png'}, {'name': '可愛DIY桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteWorkbench_Remake_0_0.png'}, {'name': '可愛梳妝台', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteDresser_Remake_0_0.png'}, {'name': '可愛衣櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteClosetLR_Remake_0_0.png'}, {'name': '可愛椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteChairS_Remake_0_0.png'}, {'name': '木製單人床', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenBedS_Remake_0_0.png'}, {'name': '可愛壁掛鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_0_0.png'}, {'name': '木製穿衣鏡', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenMirror_Remake_0_0.png'}, {'name': '壁掛式電視 50吋', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTV50inchWall_Remake_0_0.png'}, {'name': '可愛音樂播放器', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteAudio_Remake_0_0.png'}]"
26477,Olivia,オリビア,奧莉,cat03,2/3,什麼,"['白色', '黑色']",K.K.奏鳴曲,♀,音樂,成熟,貓,cat03_55_Olivia,"{'name': '紫色玫瑰壁紙', 'filename': 'RoomTexWallRose01'}","{'name': '藍色簡約地毯', 'filename': 'RoomTexFloorSimpleCarpet01'}","[{'name': '古董小桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png'}, {'name': '古董玄關桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png'}, {'name': '鋼琴椅子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPianochair_Remake_0_0.png'}, {'name': '古董時鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png'}, {'name': '藤編矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanTableM_Remake_0_0.png'}, {'name': '雙人座沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrSofaL_Remake_0_0.png'}, {'name': '三角架鋼琴', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPianoGrand_Remake_0_0.png'}, {'name': '壁爐', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFireplace_Remake_0_0.png'}, {'name': '留聲機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPhonograph.png'}]"
26478,Kiki,キャビア,余子醬,cat04,10/8,醬醬,"['棕色', '米色']",只有我,♀,學術,普通,貓,cat04_56_Kiki,"{'name': '引人入勝牆', 'filename': 'RoomTexWallMod00'}","{'name': '白色簡約地毯', 'filename': 'RoomTexFloorSimpleCarpet04'}","[{'name': '古董椅子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_0_0.png'}, {'name': '直立式鋼琴', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPianoUpright_Remake_0_0.png'}, {'name': '古董桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_0_0.png'}, {'name': '鋼琴圓椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPianoStool.png'}, {'name': '鑄鐵木櫥櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrIronwoodCupboard_Remake_0_0.png'}, {'name': '可愛音樂播放器', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteAudio_Remake_0_0.png'}, {'name': '布穀鳥鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_0_0.png'}, {'name': '鑄鐵木廚房', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrIronwoodKitchen_Remake_0_0.png'}, {'name': '鑄鐵木DIY桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWorkbenchIronwood_Remake_0_0.png'}]"
26479,Tangy,ヒャクパー,純純,cat05,6/17,蜜柑,"['綠色', '黃色']",我愛你,♀,音樂,活力,貓,cat05_57_Tangy,"{'name': '橘子壁紙', 'filename': 'RoomTexWallOrange00'}","{'name': '綠色復古地板', 'filename': 'RoomTexFloorKitchen01'}","[{'name': '椰子壁掛盤栽', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPlanterPalm.png'}, {'name': '蘋果電視', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsTV_Remake_0_0.png'}, {'name': '棕櫚樹燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPalmtreelamp_Remake_0_0.png'}, {'name': '梨子床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsBedS_Remake_0_0.png'}, {'name': '橘子邊桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsTableS_Remake_0_0.png'}, {'name': '蘋果椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_0_0.png'}, {'name': '櫻桃廣播喇叭', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsMusic_Remake_0_0.png'}, {'name': '桃子椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairPeach_Remake_0_0.png'}, {'name': '梨子衣櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsClosetLR_Remake_0_0.png'}, {'name': '紙箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCardboard_Remake_0_0.png'}, {'name': '紙箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCardboard_Remake_0_0.png'}, {'name': '水果籃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitbasket.png'}, {'name': '水果花圈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathFruit.png'}, {'name': '桃子驚嚇箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsBox_Remake_0_0.png'}, {'name': '橘子邊桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsTableS_Remake_0_0.png'}, {'name': '水果桶裝飲水機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitswater.png'}, {'name': '橘子壁掛鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFruitsClockW_Remake_0_0.png'}]"
26480,Punchy,ビンタ,爾光,cat06,4/11,晃晃,"['藍色', '淺藍']",森林生活,♂,玩耍,悠閒,貓,cat06_389_Punchy,"{'name': '藍色簡約布面牆', 'filename': 'RoomTexWallSimple03'}","{'name': '巧拼地墊地板', 'filename': 'RoomTexFloorJointMat00'}","[{'name': '木製矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableM_Remake_0_0.png'}, {'name': '木製單人床', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenBedS_Remake_0_0.png'}, {'name': '可愛DIY桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteWorkbench_Remake_0_0.png'}, {'name': '木製小桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableMini_Remake_0_0.png'}, {'name': '瓦斯爐連烤箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_0_0.png'}, {'name': '可愛音樂播放器', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteAudio_Remake_0_0.png'}, {'name': '冰箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRefrigerator_Remake_0_0.png'}, {'name': '木製矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenChest_Remake_0_0.png'}, {'name': '換氣扇', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrExtractorfan_Remake_0_0.png'}, {'name': '貓草', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCatgrass_Remake_0_0.png'}]"
26481,Purrl,たま,小玉,cat07,5/29,嗯嗯,"['灰色', '藍色']",K.K.讚美詩歌,♀,時尚,成熟,貓,cat07_58_Purrl,"{'name': '美麗玻璃牆', 'filename': 'RoomSpWallGlass00'}","{'name': '深色人字斜紋地板', 'filename': 'RoomTexFloorHerringbone01'}","[{'name': '古董床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png'}, {'name': '古董時鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png'}, {'name': '古董玄關桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png'}, {'name': '古董寫字桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png'}, {'name': '雙人座沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrSofaL_Remake_0_0.png'}, {'name': '古董小桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png'}, {'name': '古董衣櫥', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_0_0.png'}, {'name': '壁爐', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFireplace_Remake_0_0.png'}, {'name': '手提唱片播放機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPortablerecordplayer_Remake_0_0.png'}]"
26482,Moe,ジンペイ,仁平,cat08,1/12,吶,"['黑色', '灰色']",前天,♂,玩耍,悠閒,貓,cat08_59_Moe,"{'name': '藍色地鐵磚牆', 'filename': 'RoomTexWallMetro00'}","{'name': '條紋地板', 'filename': 'RoomTexFloorStripe00'}","[{'name': '可愛DIY桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteWorkbench_Remake_0_0.png'}, {'name': '木製矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWoodenTableM_Remake_0_0.png'}, {'name': '積木矮櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockChest_Remake_0_0.png'}, {'name': '可愛音樂播放器', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCuteAudio_Remake_0_0.png'}, {'name': '積木壁鐘', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockClock_Remake_0_0.png'}, {'name': 'TOY床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBoyBedS_Remake_0_0.png'}, {'name': 'TOY貨櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBoyBox_Remake_0_0.png'}, {'name': '玩具箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrToybox_Remake_0_0.png'}, {'name': '積木長椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBlockChairL_Remake_0_0.png'}, {'name': 'TOY衣櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBoyClosetL_Remake_0_0.png'}]"
26483,Kabuki,かぶきち,戈伍紀,cat09,11/29,咦唷,"['紫色', '紅色']",K.K.三味線,♂,音樂,暴躁,貓,cat09_60_Kabuki,"{'name': '練功房牆', 'filename': 'RoomTexWallBaseboards00'}","{'name': '榻榻米', 'filename': 'RoomTexFloorTatami00'}","[{'name': '竹屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooScreen_Remake_0_0.png'}, {'name': '竹屏風', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBambooScreen_Remake_0_0.png'}, {'name': '蹲式馬桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWCJapan.png'}, {'name': '日式床墊', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFuton_Remake_0_0.png'}, {'name': '五右衛門泡澡桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrGoemonburo.png'}, {'name': '盆栽架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBonsaiShelf.png'}, {'name': '方形紙罩座燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrLampJapan_Remake_0_0.png'}, {'name': '木匾額', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrSignboardWood_Remake_0_0.png'}]"
26484,Kid Cat,１ごう,阿一,cat10,8/1,喝,['紅色'],衝吧！K.K.摩托車手,♂,健康,運動,貓,cat10_61_Kid%20Cat,"{'name': '空地圍欄牆', 'filename': 'RoomSpWallEmptyLot00'}","{'name': '空地地板', 'filename': 'RoomTexFloorEmptyLot00'}","[{'name': '舉重椅', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPressbench.png'}, {'name': '塑膠桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPale.png'}, {'name': '單槓架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrPullupstand_Remake_0_0.png'}, {'name': '汽油桶', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrDrumcan_Remake_0_0.png'}, {'name': '人孔蓋', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrManhole_Remake_0_0.png'}, {'name': '登山車', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrMountainbike_Remake_0_0.png'}, {'name': '籃框', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrBasketgoal_Remake_0_0.png'}, {'name': '紙箱', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrCardboard_Remake_0_0.png'}, {'name': '卡帶收音機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRadicase_Remake_0_0.png'}]"
26485,Monique,ジェーン,珍珍,cat11,9/30,嗯哼,"['紫色', '粉色']",都市K.K.,♀,時尚,成熟,貓,cat11_62_Monique,"{'name': '米色摩洛哥磚牆', 'filename': 'RoomTexWallMorocco00'}","{'name': '玫瑰木地板', 'filename': 'RoomTexFloorRoseWood00'}","[{'name': '藤編矮桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanTableM_Remake_0_0.png'}, {'name': '藤編梳妝台', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanDresser_Remake_0_0.png'}, {'name': '淋浴間', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrShowerboothSquare_Remake_0_0.png'}, {'name': '百合唱片播放器', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrFlowerRecordplayer_Remake_0_0.png'}, {'name': '藤編廢紙簍', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanTrashbox_Remake_0_0.png'}, {'name': '藤編衣櫃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanClosetLR_Remake_0_0.png'}, {'name': '藤編床鋪', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanBedW_Remake_0_0.png'}, {'name': '藤編凳子', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanStool_Remake_0_0.png'}, {'name': '藤編沙發', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanChairS_Remake_0_0.png'}, {'name': '滾筒式洗衣機', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_0_0.png'}, {'name': '毛巾架', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png'}, {'name': '藤編邊桌', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanTableS_Remake_0_0.png'}, {'name': '藤編桌燈', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanLamp_Remake_0_0.png'}, {'name': '空調', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png'}, {'name': '藤編毛巾籃', 'filename': 'https://acnhcdn.com/latest/FtrIcon/FtrRattanBasket_Remake_0_0.png'}]"
